Table 1
,,,,,,,,,,,,
,Date,NZSE50FG Index,Date,NZSE Index,Date,XAUNZD,Date,NZDUSD,Date,10-year Bond GTNZD10Y Govt,Date,NZB 3MAY Index 3 month yield
,2022-03-03,12189.320,2022-03-03,1963.7100,2022-03-02,2838.8037,2022-03-02,0.6789,2022-03-03,2.820,2022-02-22,1.050
,2022-03-02,12088.750,2022-03-02,1949.3810,2022-03-01,2879.4988,2022-03-01,0.6756,2022-03-02,2.740,2022-02-08,1.000
,2022-03-01,12197.920,2022-03-01,1965.9530,2022-02-28,2817.8835,2022-02-28,0.6772,2022-03-01,2.771,2022-01-25,0.923
,2022-02-28,11977.770,2022-02-28,1932.4980,2022-02-25,2800.6975,2022-02-25,0.6743,2022-02-28,2.751,2021-12-14,0.747
,2022-02-25,11923.380,2022-02-25,1923.3140,2022-02-24,2844.0850,2022-02-24,0.6693,2022-02-25,2.800,2021-12-07,0.715
,2022-02-24,11732.550,2022-02-24,1894.4900,2022-02-23,2818.9302,2022-02-23,0.6772,2022-02-24,2.760,2021-11-30,0.670
,2022-02-23,12134.420,2022-02-23,1957.1860,2022-02-22,2819.8804,2022-02-22,0.6733,2022-02-23,2.793,2021-11-23,0.728
,2022-02-22,12114.630,2022-02-22,1953.9110,2022-02-21,2845.4297,2022-02-21,0.6700,2022-02-22,2.701,2021-11-16,0.715
,2022-02-21,12156.340,2022-02-21,1960.5800,2022-02-18,2835.1523,2022-02-18,0.6697,2022-02-21,2.762,2021-11-09,0.675
,2022-02-18,12141.890,2022-02-18,1958.5129,2022-02-17,2837.9341,2022-02-17,0.6689,2022-02-18,2.810,2021-11-02,0.655
,2022-02-17,12256.820,2022-02-17,1976.9250,2022-02-16,2799.3345,2022-02-16,0.6679,2022-02-17,2.817,2021-10-26,0.600
,2022-02-16,12121.890,2022-02-16,1956.0649,2022-02-15,2792.1145,2022-02-15,0.6640,2022-02-16,2.842,2021-10-19,0.630
,2022-02-15,11938.320,2022-02-15,1927.2610,2022-02-14,2828.1826,2022-02-14,0.6616,2022-02-15,2.827,2021-10-12,0.510
,2022-02-14,11950.140,2022-02-14,1929.7000,2022-02-11,2795.3223,2022-02-11,0.6647,2022-02-14,2.780,2021-10-05,0.476
,2022-02-11,12173.780,2022-02-11,1965.9360,2022-02-10,2736.9546,2022-02-10,0.6673,2022-02-11,2.815,2021-09-28,0.500
,2022-02-10,12413.050,2022-02-10,2003.7980,2022-02-09,2744.1030,2022-02-09,0.6684,2022-02-10,2.735,2021-09-21,0.480
,2022-02-09,12433.950,2022-02-09,2006.7100,2022-02-08,2746.4019,2022-02-08,0.6650,2022-02-09,2.742,2021-09-14,0.412
,2022-02-08,12319.340,2022-02-08,1988.7450,2022-02-07,2744.3735,2022-02-07,0.6633,2022-02-08,2.708,2021-09-07,0.389
,2022-02-04,12279.560,2022-02-04,1983.0900,2022-02-04,2733.3550,2022-02-04,0.6614,2022-02-04,2.600,2021-08-31,0.340
,2022-02-03,12335.320,2022-02-03,1992.0010,2022-02-03,2709.2612,2022-02-03,0.6661,2022-02-03,2.520,2021-08-24,0.240
,2022-02-02,12289.640,2022-02-02,1984.9611,2022-02-02,2724.2603,2022-02-02,0.6632,2022-02-02,2.572,2021-08-17,0.540
,2022-02-01,12058.940,2022-02-01,1947.8900,2022-02-01,2713.0293,2022-02-01,0.6638,2022-02-01,2.595,2021-08-10,0.545
,2022-01-31,11889.400,2022-01-31,1921.4000,2022-01-31,2732.8394,2022-01-31,0.6576,2022-01-28,2.602,2021-08-03,0.439
,2022-01-28,11852.150,2022-01-28,1915.0100,2022-01-28,2738.8955,2022-01-28,0.6548,2022-01-27,2.673,2021-07-27,0.409
,2022-01-27,12050.320,2022-01-27,1946.6379,2022-01-27,2730.2979,2022-01-27,0.6583,2022-01-26,2.615,2021-07-20,0.393
,2022-01-26,12185.650,2022-01-26,1967.6000,2022-01-26,2735.1729,2022-01-26,0.6652,2022-01-25,2.562,2021-07-13,0.245
,2022-01-25,12128.210,2022-01-25,1959.5811,2022-01-25,2763.5942,2022-01-25,0.6687,2022-01-21,2.527,2021-07-06,0.235
,2022-01-24,12191.060,2022-01-24,1969.0551,2022-01-24,2751.0562,2022-01-24,0.6700,2022-01-20,2.587,2021-06-29,0.242
,2022-01-21,12348.000,2022-01-21,1995.6350,2022-01-21,2732.1597,2022-01-21,0.6717,2022-01-19,2.610,2021-06-22,0.248
,2022-01-20,12497.100,2022-01-20,2019.4830,2022-01-20,2721.8184,2022-01-20,0.6757,2022-01-18,2.545,2021-06-15,0.238
,2022-01-19,12612.310,2022-01-19,2037.1760,2022-01-19,2713.2754,2022-01-19,0.6784,2022-01-17,2.575,2021-05-18,0.240
,2022-01-18,12814.460,2022-01-18,2069.0491,2022-01-18,2679.1221,2022-01-18,0.6770,2022-01-14,2.505,2021-05-11,0.240
,2022-01-17,12806.900,2022-01-17,2067.8040,2022-01-17,2676.7173,2022-01-17,0.6801,2022-01-13,2.532,2021-04-27,0.237
,2022-01-14,12790.160,2022-01-14,2066.0701,2022-01-14,2670.3105,2022-01-14,0.6804,2022-01-12,2.550,2021-04-20,0.237
,2022-01-13,12826.990,2022-01-13,2072.2690,2022-01-13,2656.1768,2022-01-13,0.6861,2022-01-11,2.585,2021-04-13,0.240
,2022-01-12,12804.480,2022-01-12,2069.9431,2022-01-12,2666.4966,2022-01-12,0.6850,2022-01-10,2.583,2021-04-06,0.240
,2022-01-11,12831.730,2022-01-11,2073.8101,2022-01-11,2684.4021,2022-01-11,0.6786,2022-01-07,2.522,2021-03-30,0.240
,2022-01-10,12892.940,2022-01-10,2083.4180,2022-01-10,2663.9023,2022-01-10,0.6762,2022-01-06,2.527,2021-03-23,0.237
,2022-01-07,12970.650,2022-01-07,2096.4819,2022-01-07,2650.7798,2022-01-07,0.6779,2022-01-05,2.470,2021-03-09,0.240
