Table 1
,,,,,,,,,,,,
,Date,FTSE South Africa,Date,South Africa Top 40,Date,XAUZAR,Date,ZARUSD,Date,10-year Bond,Date,OEZAR004 Index
,2022-03-02,77536.12,2022-03-02,71057.56,2022-03-02,29366.9883,2022-03-02,0.065376,2022-03-02,9.992,2022-02-28,3.97
,2022-03-01,77110.69,2022-03-01,70584.10,2022-03-01,29958.9531,2022-03-01,0.064913,2022-03-01,9.873,2022-01-31,3.87
,2022-02-28,76090.51,2022-02-28,69624.29,2022-02-28,29327.4238,2022-02-28,0.065087,2022-02-28,9.832,2021-12-31,3.87
,2022-02-25,74205.69,2022-02-25,67719.42,2022-02-25,28602.4844,2022-02-25,0.066034,2022-02-25,9.674,2021-11-30,3.81
,2022-02-24,73697.11,2022-02-24,67235.99,2022-02-24,29218.1230,2022-02-24,0.065155,2022-02-24,9.856,2021-10-31,3.76
,2022-02-23,74987.05,2022-02-23,68369.73,2022-02-23,28903.1035,2022-02-23,0.066059,2022-02-23,9.648,2021-09-30,3.84
,2022-02-22,75653.84,2022-02-22,69058.61,2022-02-22,28588.6445,2022-02-22,0.066341,2022-02-22,9.587,2021-08-31,3.73
,2022-02-21,75528.46,2022-02-21,68876.90,2022-02-21,28925.6348,2022-02-21,0.065967,2022-02-21,9.535,2021-07-31,3.87
,2022-02-18,76368.34,2022-02-18,69650.10,2022-02-18,28698.9941,2022-02-18,0.066069,2022-02-18,9.493,2021-06-30,3.76
,2022-02-17,76154.69,2022-02-17,69406.88,2022-02-17,28460.2441,2022-02-17,0.066701,2022-02-17,9.484,2021-05-31,4.51
,2022-02-16,76502.59,2022-02-16,69735.63,2022-02-16,28021.1836,2022-02-16,0.066721,2022-02-16,9.526,2021-04-30,4.57
,2022-02-15,75853.16,2022-02-15,69169.36,2022-02-15,28022.7344,2022-02-15,0.066186,2022-02-15,9.592,2021-03-31,3.81
,2022-02-14,75765.16,2022-02-14,69130.81,2022-02-14,28315.2148,2022-02-14,0.066089,2022-02-14,9.629,2021-02-28,3.77
,2022-02-11,76382.95,2022-02-11,69681.32,2022-02-11,28283.0039,2022-02-11,0.065734,2022-02-11,9.617,2021-01-31,3.81
,2022-02-10,76585.19,2022-02-10,69944.22,2022-02-10,27714.6445,2022-02-10,0.065923,2022-02-10,9.603,2020-12-31,3.76
,2022-02-09,76690.92,2022-02-09,70105.79,2022-02-09,27887.9941,2022-02-09,0.065728,2022-02-09,9.668,2020-11-30,3.59
,2022-02-08,76090.52,2022-02-08,69526.76,2022-02-08,28031.3145,2022-02-08,0.065132,2022-02-08,9.739,2020-10-31,3.47
,2022-02-07,75679.56,2022-02-07,69197.64,2022-02-07,28219.0234,2022-02-07,0.064494,2022-02-07,9.770,2020-09-30,3.45
,2022-02-04,75206.00,2022-02-04,68678.91,2022-02-04,27932.4941,2022-02-04,0.064678,2022-02-04,9.728,2020-08-31,3.70
,2022-02-03,75021.67,2022-02-03,68461.21,2022-02-03,27533.0938,2022-02-03,0.065527,2022-02-03,9.654,2020-07-31,3.95
,2022-02-02,75190.74,2022-02-02,68655.58,2022-02-02,27702.8945,2022-02-02,0.065209,2022-02-02,9.689,2020-06-30,4.10
,2022-02-01,74889.17,2022-02-01,68374.94,2022-02-01,27486.7539,2022-02-01,0.065513,2022-02-01,9.724,2020-05-31,4.16
,2022-01-31,74304.56,2022-01-31,67820.89,2022-01-31,27664.2930,2022-01-31,0.064999,2022-01-31,9.814,2020-04-30,5.10
,2022-01-28,73454.96,2022-01-28,67021.38,2022-01-28,27943.3633,2022-01-28,0.064099,2022-01-28,9.846,2020-03-31,6.09
,2022-01-27,73504.04,2022-01-27,67070.04,2022-01-27,27804.0234,2022-01-27,0.064670,2022-01-27,9.770,2020-02-29,6.34
,2022-01-26,73797.33,2022-01-26,67363.61,2022-01-26,27912.7930,2022-01-26,0.065193,2022-01-26,9.773,2020-01-31,6.86
,2022-01-25,72314.81,2022-01-25,65869.53,2022-01-25,28181.0547,2022-01-25,0.065579,2022-01-25,9.795,2019-12-31,7.13
,2022-01-24,72164.02,2022-01-24,65653.18,2022-01-24,28124.0137,2022-01-24,0.065520,2022-01-24,9.750,2019-11-30,7.00
,2022-01-21,74834.52,2022-01-21,68186.16,2022-01-21,27721.0938,2022-01-21,0.066186,2022-01-21,9.689,2019-10-31,6.81
,2022-01-20,76233.26,2022-01-20,69586.74,2022-01-20,28009.6543,2022-01-20,0.065692,2022-01-20,9.741,2019-09-30,6.86
,2022-01-19,76176.15,2022-01-19,69512.97,2022-01-19,28217.9844,2022-01-19,0.065227,2022-01-19,9.875,2019-08-31,6.99
,2022-01-18,74955.66,2022-01-18,68281.90,2022-01-18,28156.1348,2022-01-18,0.064469,2022-01-18,9.890,2019-07-31,7.04
,2022-01-17,75593.47,2022-01-17,68889.24,2022-01-17,27980.3242,2022-01-17,0.065000,2022-01-17,9.854,2019-06-30,7.11
,2022-01-14,75160.21,2022-01-14,68448.15,2022-01-14,27939.1348,2022-01-14,0.064943,2022-01-14,9.824,2019-05-31,7.17
,2022-01-13,75925.55,2022-01-13,69187.73,2022-01-13,28072.7734,2022-01-13,0.064922,2022-01-13,9.886,2019-04-30,7.10
,2022-01-12,75884.75,2022-01-12,69206.77,2022-01-12,27952.2148,2022-01-12,0.065332,2022-01-12,9.851,2019-03-31,7.04
,2022-01-11,73971.43,2022-01-11,67302.20,2022-01-11,28280.1836,2022-01-11,0.064415,2022-01-11,9.988,2019-02-28,7.25
,2022-01-10,73830.47,2022-01-10,67114.14,2022-01-10,28253.7734,2022-01-10,0.063844,2022-01-10,9.958,2019-01-31,7.51
,2022-01-07,73939.71,2022-01-07,67251.03,2022-01-07,28001.2148,2022-01-07,0.064175,2022-01-07,9.856,2018-12-31,7.49
,2022-01-06,74165.25,2022-01-06,67420.20,2022-01-06,28201.1934,2022-01-06,0.063527,2022-01-06,9.874,2018-11-30,7.32
,2022-01-05,75060.92,2022-01-05,68367.16,2022-01-05,28789.8242,2022-01-05,0.062877,2022-01-05,9.811,2018-10-31,7.19
,2022-01-04,75052.06,2022-01-04,68398.98,2022-01-04,29070.8535,2022-01-04,0.062440,2022-01-04,9.861,2018-09-30,7.14
,2022-01-03,73722.60,2022-01-03,67025.54,2022-01-03,28553.0039,2022-01-03,0.063072,2022-01-03,9.776,2018-08-31,7.12
,2021-12-31,73709.39,2021-12-31,67052.40,2021-12-31,29160.3730,2021-12-31,0.062701,2021-12-31,9.799,2018-07-31,7.07
,2021-12-30,73786.45,2021-12-30,67129.53,2021-12-30,28865.2832,2021-12-30,0.062809,2021-12-30,9.869,2018-06-30,7.03
,2021-12-29,73238.01,2021-12-29,66613.94,2021-12-29,28749.4531,2021-12-29,0.062742,2021-12-29,9.820,2018-05-31,7.01
,2021-12-28,72444.52,2021-12-28,65864.13,2021-12-28,28482.6445,2021-12-28,0.063410,2021-12-28,9.759,2018-04-30,6.98
,2021-12-24,71570.64,2021-12-24,65023.34,2021-12-27,28174.3438,2021-12-27,0.064335,2021-12-24,9.736,2018-03-31,7.06
,2021-12-23,71684.10,2021-12-23,65125.68,2021-12-24,28380.1445,2021-12-24,0.064329,2021-12-23,9.759,2018-02-28,7.12
,2021-12-22,71359.04,2021-12-22,64803.84,2021-12-23,28325.6934,2021-12-23,0.063851,2021-12-22,9.830,2018-01-31,7.32
,2021-12-21,71119.36,2021-12-21,64611.70,2021-12-22,28320.0742,2021-12-22,0.063687,2021-12-21,9.793,2017-12-31,7.54
,2021-12-20,70087.63,2021-12-20,63652.47,2021-12-21,28359.4941,2021-12-21,0.063076,2021-12-20,9.680,2017-11-30,7.45
,2021-12-17,71203.13,2021-12-17,64680.34,2021-12-20,28302.7930,2021-12-20,0.063387,2021-12-17,9.738,2017-10-31,7.25
,2021-12-15,71467.17,2021-12-15,65102.29,2021-12-17,28614.2031,2021-12-17,0.062957,2021-12-15,9.894,2017-09-30,7.10
,2021-12-14,71544.82,2021-12-14,65212.46,2021-12-16,28667.8340,2021-12-16,0.062749,2021-12-14,9.848,2017-08-31,7.17
,2021-12-13,71429.88,2021-12-13,65177.02,2021-12-15,28351.2832,2021-12-15,0.062627,2021-12-13,9.924,2017-07-31,7.33
,2021-12-10,71686.33,2021-12-10,65390.32,2021-12-14,28482.5137,2021-12-14,0.062163,2021-12-10,9.928,2017-06-30,7.34
,2021-12-09,72207.64,2021-12-09,65779.50,2021-12-13,28594.8340,2021-12-13,0.062414,2021-12-09,9.920,2017-05-31,7.43
,2021-12-08,72403.88,2021-12-08,65992.71,2021-12-10,28477.4531,2021-12-10,0.062610,2021-12-08,9.911,2017-04-30,7.41
,2021-12-07,72939.25,2021-12-07,66513.46,2021-12-09,28375.2539,2021-12-09,0.062697,2021-12-07,9.928,2017-03-31,7.23
,2021-12-06,71016.63,2021-12-06,64598.46,2021-12-08,28008.6836,2021-12-08,0.063632,2021-12-06,9.961,2017-02-28,7.26
,2021-12-03,70807.60,2021-12-03,64306.68,2021-12-07,28279.9336,2021-12-07,0.063094,2021-12-03,10.072,2017-01-31,7.46
,2021-12-02,71020.76,2021-12-02,64555.25,2021-12-06,28326.9336,2021-12-06,0.062819,2021-12-02,10.119,2016-12-31,7.61
,2021-12-01,71198.08,2021-12-01,64785.66,2021-12-03,28687.6445,2021-12-03,0.062191,2021-12-01,10.226,2016-11-30,7.48
,2021-11-30,70475.02,2021-11-30,64063.82,2021-12-02,28180.0742,2021-12-02,0.062751,2021-11-30,10.229,2016-10-31,7.34
,2021-11-29,70008.54,2021-11-29,63600.61,2021-12-01,28590.0840,2021-12-01,0.062352,2021-11-29,10.303,2016-09-30,7.29
,2021-11-26,68614.98,2021-11-26,62410.83,2021-11-30,28195.2832,2021-11-30,0.062959,2021-11-26,10.395,2016-08-31,7.30
,2021-11-25,70554.68,2021-11-25,64062.74,2021-11-29,28834.1543,2021-11-29,0.061905,2021-11-25,10.202,2016-07-31,7.35
,2021-11-24,70558.89,2021-11-24,64169.17,2021-11-26,29356.1445,2021-11-26,0.061414,2021-11-24,10.235,2016-06-30,7.19
,2021-11-23,71015.40,2021-11-23,64566.39,2021-11-25,28567.2930,2021-11-25,0.062616,2021-11-23,10.159,2016-05-31,7.16
,2021-11-22,70865.85,2021-11-22,64384.46,2021-11-24,28417.1543,2021-11-24,0.062939,2021-11-22,10.080,2016-04-30,7.18
,2021-11-19,70376.42,2021-11-19,63870.65,2021-11-23,28337.4043,2021-11-23,0.063155,2021-11-19,9.969,2016-03-31,7.04
,2021-11-18,70866.57,2021-11-18,64288.72,2021-11-22,28617.0137,2021-11-22,0.063059,2021-11-18,9.946,2016-02-29,6.93
,2021-11-17,70942.34,2021-11-17,64337.17,2021-11-19,29063.2148,2021-11-19,0.063536,2021-11-17,9.930,2016-01-31,6.86
,2021-11-16,70938.41,2021-11-16,64281.45,2021-11-18,29089.9336,2021-11-18,0.063922,2021-11-16,9.953,2015-12-31,6.74
,2021-11-15,70090.54,2021-11-15,63480.76,2021-11-17,28903.5430,2021-11-17,0.064500,2021-11-15,9.864,2015-11-30,6.33
,2021-11-12,69921.37,2021-11-12,63263.40,2021-11-16,28705.8145,2021-11-16,0.064451,2021-11-12,9.824,2015-10-31,6.15
,2021-11-11,69131.56,2021-11-11,62381.97,2021-11-15,28404.6348,2021-11-15,0.065593,2021-11-11,9.709,2015-09-30,6.24
,2021-11-10,68279.40,2021-11-10,61537.83,2021-11-12,28621.0547,2021-11-12,0.065296,2021-11-10,9.812,2015-08-31,6.16
,2021-11-09,67983.20,2021-11-09,61246.70,2021-11-11,28540.9648,2021-11-11,0.065283,2021-11-09,9.719,2015-07-31,6.03
,2021-11-08,68049.34,2021-11-08,61317.75,2021-11-10,28547.4336,2021-11-10,0.064785,2021-11-08,9.788,2015-06-30,5.76
,2021-11-05,67825.34,2021-11-05,61115.79,2021-11-09,27585.8633,2021-11-09,0.066421,2021-11-05,9.927,2015-05-31,5.72
,2021-11-04,68156.21,2021-11-04,61409.93,2021-11-08,27227.4434,2021-11-08,0.067032,2021-11-04,10.026,2015-04-30,5.79
,2021-11-03,68587.27,2021-11-03,61876.97,2021-11-05,27348.9336,2021-11-05,0.066448,2021-11-03,10.179,2015-03-31,5.80
,2021-11-02,67782.20,2021-11-02,61158.14,2021-11-04,27251.9336,2021-11-04,0.065713,2021-11-02,10.155,2015-02-28,5.89
